Total puntos: 2400
Punto 0: (0.37184, 208.935) indice: 0
Punto 1: (1.04523, 215.324) indice: 1
Punto 2: (1.12452, 216.371) indice: 2
Punto 3: (1.36641, 11.4231) indice: 3
Punto 4: (1.4675, 11.0078) indice: 4
Punto 5: (1.54096, 16.5269) indice: 5
Punto 6: (10.636, 214.958) indice: 6
Punto 7: (10.7979, 207.04) indice: 7
Punto 8: (10.9083, 219.359) indice: 8
Punto 9: (10.9466, 214.614) indice: 9
Punto 10: (101.149, 17.0744) indice: 10
Punto 11: (101.974, 145.654) indice: 11
Punto 12: (103.528, 108.135) indice: 12
Punto 13: (104.556, 131.192) indice: 13
Punto 14: (106.143, 18.3251) indice: 14
Punto 15: (106.512, 116.426) indice: 15
Punto 16: (108.052, 14.7029) indice: 16
Punto 17: (11.0271, 207.291) indice: 17
Punto 18: (11.9373, 88.6851) indice: 18
Punto 19: (12.0145, 211.96) indice: 19
Punto 20: (12.2418, 209.132) indice: 20
Punto 21: (12.5713, 210.492) indice: 21
Punto 22: (12.6331, 220.724) indice: 22
Punto 23: (120.435, 12.7502) indice: 23
Punto 24: (121.951, 20.3878) indice: 24
Punto 25: (125.046, 190.882) indice: 25
Punto 26: (125.065, 19.6427) indice: 26
Punto 27: (125.271, 19.7021) indice: 27
Punto 28: (125.548, 0.239732) indice: 28
Punto 29: (125.874, 53.5898) indice: 29
Punto 30: (126.699, 33.9067) indice: 30
Punto 31: (126.734, 197.033) indice: 31
Punto 32: (127.019, 9.67984) indice: 32
Punto 33: (127.439, 181.55) indice: 33
Punto 34: (127.461, 175.239) indice: 34
Punto 35: (127.489, 37.5772) indice: 35
Punto 36: (128.123, 50.2323) indice: 36
Punto 37: (128.478, 10.4844) indice: 37
Punto 38: (128.762, 8.83903) indice: 38
Punto 39: (128.768, 30.5338) indice: 39
Punto 40: (128.859, 188.595) indice: 40
Punto 41: (128.875, 36.5189) indice: 41
Punto 42: (128.886, 44.2019) indice: 42
Punto 43: (128.975, 18.5371) indice: 43
Punto 44: (129.095, 178.415) indice: 44
Punto 45: (129.175, 200.331) indice: 45
Punto 46: (129.213, 38.3009) indice: 46
Punto 47: (129.267, 194.744) indice: 47
Punto 48: (129.334, 292.325) indice: 48
Punto 49: (129.36, 266.194) indice: 49
Punto 50: (129.371, 10.2615) indice: 50
Punto 51: (129.399, 53.2524) indice: 51
Punto 52: (129.407, 267.947) indice: 52
Punto 53: (129.497, 8.16052) indice: 53
Punto 54: (129.609, 26.5415) indice: 54
Punto 55: (129.86, 8.88122) indice: 55
Punto 56: (129.862, 56.7015) indice: 56
Punto 57: (129.921, 43.2116) indice: 57
Punto 58: (129.977, 48.7746) indice: 58
Punto 59: (13.1309, 63.8157) indice: 59
Punto 60: (13.2741, 92.9471) indice: 60
Punto 61: (13.337, 204.765) indice: 61
Punto 62: (13.3431, 214.408) indice: 62
Punto 63: (13.3742, 199.673) indice: 63
Punto 64: (13.3883, 204.62) indice: 64
Punto 65: (130.254, 188.902) indice: 65
Punto 66: (130.301, 290.829) indice: 66
Punto 67: (130.468, 275.7) indice: 67
Punto 68: (130.51, 17.0412) indice: 68
Punto 69: (130.528, 56.6923) indice: 69
Punto 70: (130.637, 55.8495) indice: 70
Punto 71: (130.664, 173.251) indice: 71
Punto 72: (130.743, 33.5586) indice: 72
Punto 73: (130.769, 276.35) indice: 73
Punto 74: (130.988, 29.1227) indice: 74
Punto 75: (131.017, 187.185) indice: 75
Punto 76: (131.071, 22.5303) indice: 76
Punto 77: (131.324, 43.0384) indice: 77
Punto 78: (131.356, 37.2871) indice: 78
Punto 79: (131.497, 183.269) indice: 79
Punto 80: (131.607, 47.5113) indice: 80
Punto 81: (131.686, 188.133) indice: 81
Punto 82: (131.955, 45.5262) indice: 82
Punto 83: (132.011, 277.944) indice: 83
Punto 84: (132.132, 22.5901) indice: 84
Punto 85: (132.143, 292.291) indice: 85
Punto 86: (132.161, 32.489) indice: 86
Punto 87: (132.315, 33.7951) indice: 87
Punto 88: (132.358, 186.671) indice: 88
Punto 89: (132.606, 27.7339) indice: 89
Punto 90: (132.639, 70.7779) indice: 90
Punto 91: (132.813, 6.82344) indice: 91
Punto 92: (132.872, 9.95343) indice: 92
Punto 93: (133.057, 51.6214) indice: 93
Punto 94: (133.257, 49.7865) indice: 94
Punto 95: (133.384, 29.0932) indice: 95
Punto 96: (133.397, 10.3148) indice: 96
Punto 97: (133.428, 19.6602) indice: 97
Punto 98: (133.715, 22.6291) indice: 98
Punto 99: (133.753, 54.0871) indice: 99
Punto 100: (133.906, 178.582) indice: 100
Punto 101: (134.27, 40.7098) indice: 101
Punto 102: (134.278, 178.97) indice: 102
Punto 103: (134.304, 24.7418) indice: 103
Punto 104: (134.355, 66.8118) indice: 104
Punto 105: (134.678, 8.34875) indice: 105
Punto 106: (134.763, 49.5596) indice: 106
Punto 107: (134.932, 9.05444) indice: 107
Punto 108: (134.934, 186.626) indice: 108
Punto 109: (134.964, 57.4932) indice: 109
Punto 110: (134.989, 18.174) indice: 110
Punto 111: (135.067, 28.8907) indice: 111
Punto 112: (135.15, 8.10868) indice: 112
Punto 113: (135.158, 42.27) indice: 113
Punto 114: (135.229, 23.7206) indice: 114
Punto 115: (135.256, 185.724) indice: 115
Punto 116: (135.262, 284.548) indice: 116
Punto 117: (135.476, 59.1237) indice: 117
Punto 118: (135.609, 56.7994) indice: 118
Punto 119: (135.618, 177.045) indice: 119
Punto 120: (135.897, 173.159) indice: 120
Punto 121: (135.903, 175.662) indice: 121
Punto 122: (135.957, 38.2431) indice: 122
Punto 123: (135.965, 13.5535) indice: 123
Punto 124: (135.975, 55.8672) indice: 124
Punto 125: (136.561, 65.136) indice: 125
Punto 126: (136.786, 1.05015) indice: 126
Punto 127: (136.862, 40.7958) indice: 127
Punto 128: (137.037, 14.3447) indice: 128
Punto 129: (137.23, 187.328) indice: 129
Punto 130: (137.276, 14.8101) indice: 130
Punto 131: (137.485, 184.142) indice: 131
Punto 132: (137.576, 55.9651) indice: 132
Punto 133: (137.636, 33.4401) indice: 133
Punto 134: (137.881, 74.4621) indice: 134
Punto 135: (137.959, 272.182) indice: 135
Punto 136: (138.001, 287.616) indice: 136
Punto 137: (138.2, 286.675) indice: 137
Punto 138: (138.58, 56.2048) indice: 138
Punto 139: (138.714, 40.5357) indice: 139
